,star name,distance,mass,radius
0,Pegasus,0h 0m 13.54s,25° 54′ 18″,
1,,,,
2,Tucana,0h 4m 2.88s,−64° 10′ 35.8″,
3,Phoenix,0h 4m 34.84s,−40° 44′ 5.8″,
4,Pisces,0h 24m 24.63s,−1° 58′ 20.1″,
5,Cassiopeia,0h 25m 3.65s,47° 59′ 19.1″,
6,Pisces,0h 27m 41.97s,5° 3′ 41.7″,
7,Andromeda,0h 27m 55.92s,22° 19′ 32.8″,
8,Cetus,0h 30m 30.13s,−14° 50′ 33.3″,
9,Cetus,0h 33m 23.86s,−15° 21′ ″,
10,Pisces,0h 34m 51.57s,5° 23′ 5″,
11,Pisces,0h 36m 16.17s,18° 21′ 10.4″,12.47
12,Pisces,0h 45m 21.43s,16° 34′ 44.6″,
13,Cassiopeia,0h 47m 0.38s,68° 3′ 54.3″,
14,Sculptor,0h 50m 19.94s,−33° 22′ 40.2″,
15,Sculptor,0h 55m 39.72s,−28° 22′ 42″,
16,Cetus,0h 58m 42.53s,−6° 51′ 23.9″,
17,Cetus,0h 59m 10.83s,−1° 14′ 1.3″,18.08
18,Pisces,1h 3m 32.03s,19° ′ 35″,
19,Cetus,1h 7m 52.42s,−0° 41′ 56.3″,
20,Sculptor,1h 17m 47.48s,−34° 3′ 25.8″,
21,Phoenix,1h 41m 58.23s,−46° 33′ 57.4″,
22,,1h 51m 41.55s,12° 44′ 30″,
23,Cetus,2h 5m 29.401s,−11° 59′ 29.67″,
24,Cetus,2h 5m 29.401s,−11° 59′ 29.67″,
25,Cetus,2h 5m 29.401s,−11° 59′ 29.67″,
26,Cetus,2h 7m 42.84s,−0° 0′ 56.4″,
27,,2h 10m 38.57s,−30° 15′ 31.3″,
28,,2h 34m 0.93s,−64° 42′ 6.8″,
29,Cetus,2h 41m 11.51s,−3° 26′ 58.7″,
30,Fornax,2h 43m 13.71s,−24° 53′ 29.8″,
31,,2h 48m 41s,−16° 51′ 21.6″,
32,,2h 51m 13.27s,−0° 47′ 36.4″,
33,Aries,2h 53m 0.84s,+16° 52′ 53.2″,15.40
34,,2h 53m 59.8s,32° 6′ 37.3″,
35,Cetus,2h 54m 9.45s,2° 23′ 59.1″,16.01
36,Eridanus,2h 55m 3.57s,−47° 0′ 50.9″,22.92
37,Fornax,3h 18m 54.03s,−34° 21′ 29.2″,
38,,3h 20m 59.65s,18° 54′ 23.3″,
39,,3h 23m 10.02s,−46° 31′ 23.7″,
40,,3h 25m 53.22s,4° 25′ 40.6″,
41,Eridanus,3h 26m 42.25s,−21° 2′ 5.7″,
42,Taurus,3h 28m 42.65s,23° 2′ 5.1″,
43,,3h 34m 12.18s,−49° 53′ 32.2″,
44,Fornax,3h 39m 35.22s,−35° 25′ 44″,10.725
45,,3h 45m 43.16s,25° 40′ 23.3″,
46,Taurus,3h 47m 18s,+24° 22′ 31″,
47,,3h 51m 0.04s,−0° 52′ 45.2″,
48,Taurus,3h 55m 23.37s,11° 33′ 43.7″,14.05
49,Horologium,3h 57m 26.95s,−44° 17′ 30.5″,14.37
50,Eridanus,4h 15m 19.54s,−9° 35′ 6.6″,15.7
51,Eridanus,4h 23m 48.58s,−4° 14′ 3.5″,14.5
52,Eridanus,4h 28m 50.96s,−22° 53′ 22.7″,
53,,4h 35m 16.13s,−16° 6′ 57.5″,
54,,4h 36m 27.88s,−41° 14′ 46.5″,
55,Eridanus,4h 39m 1.01s,−23° 53′ 8.3″,
56,,4h 41m 44.9s,23° 1′ 58.07″,
57,,4h 43m 37.61s,−0° 2′ 5.1″,
58,Caelum,4h 45m 53.87s,−30° 48′ 20.4″,
59,Caelum,4h 51m 0.93s,−34° 2′ 15″,
60,Orion,5h 0m 21s,3° 30′ 50.1″,
61,Orion,5h 1m 24.06s,−0° 10′ 45.2″,
62,Orion,5h 16m 9.45s,−4° 45′ 49.9″,
63,Lepus,5h 23m 38.22s,−14° 3′ 2.2″,
64,Camelopardalis,5h 32m 53.46s,82° 46′ 46.5″,
65,,5h 39m 52s,−0° 59′ 1.9″,21.05
66,Lepus,5h 59m 19.14s,−14° 4′ 48.8″,
67,Auriga,6h 2m 30.45s,39° 10′ 59.2″,20.88
